Machine_ID,RPM,Temperature_C,Vibration_mm_s,Oil_Quality_Index,Pressure_bar,Shaft_Misalignment_deg,Noise_dB,Load_%,Ambient_Temp_C,Humidity_%,Power_kW,Maintenance_Score,Operating_Hours,Fault
M1,1639,100.8956364,2.451138587,73.53311646,4.770617668,0.687728005,61.00349347,59.40962878,19.37401086,42.14982817,42.36269322,6,8846,1
M3,1869,80.79633173,1.54612191,86.1207927,4.751384146,0.464777513,61.28626711,81.03720014,19.55653295,51.23427287,48.9029384,5,5236,0
M5,1725,78.25796317,2.759641962,88.26196358,5.626613637,0.516597484,58.27761396,66.15510879,27.80736315,46.76994097,51.17464063,3,8240,1
M3,1446,76.94384302,2.255396044,86.67160712,5.045563881,0.473814839,56.25292007,69.36610148,27.8142724,41.92861843,48.06209554,7,5919,0
M5,1278,71.46833707,2.515290293,67.61519476,5.623407138,0.725647957,61.6888305,74.82790124,24.3112947,55.18422031,41.67307681,3,8169,0
M1,2014,78.38483843,1.671082723,82.24045223,5.703440133,0.324831519,57.27456385,80.83583103,28.90100861,44.20268529,45.74717305,2,2136,0
M2,1511,72.0459859,2.427262614,85.46210444,7.154928677,0.338840069,69.08377815,66.66539307,19.12898852,53.04962689,57.2726923,4,9578,0
M4,1502,76.68460976,1.45403305,80.107677,4.684703345,0.702054917,53.65354447,85.19952006,23.22032541,46.06942608,57.17000502,7,9489,0
M1,1495,88.17597536,2.44512375,48.70283512,4.058977299,0.491127709,67.68078386,48.64200151,33.23938803,21.58080921,45.56680415,5,5660,1
M4,1539,64.93457435,2.08591967,82.40734436,5.246083615,0.775693471,59.44340576,77.59787237,25.34161065,53.04834763,53.36378394,9,3729,0
M2,1471,86.39878561,2.27662561,113.1879656,4.197719973,0.365697559,61.49542867,61.60472442,25.63156257,41.35176241,44.10713608,10,9063,0
M2,1385,88.17115067,1.412202697,74.59941097,6.481960768,0.489044328,64.16578883,83.72271317,36.52973293,39.48045229,57.02158141,7,5414,0
M1,1390,73.81931473,1.552465079,69.07884353,4.716781961,0.315517403,56.84875352,71.42044479,18.00328917,42.81348347,51.22617924,9,2556,0
M2,1493,53.78145101,2.298614109,85.6002284,4.434423632,0.501472536,64.32124192,63.27094668,28.98215183,36.55016838,54.74820749,9,8762,0
M5,1391,68.92178013,1.525825998,84.68567316,4.528684279,0.204290613,46.46228072,76.62841093,33.3199314,42.2702886,41.42453326,2,1470,0
M2,1357,87.96994547,2.231603146,97.89102748,5.718417423,0.402473316,56.40005233,78.93188347,23.37571037,34.08123934,53.38818551,1,7729,0
M4,1521,74.77131938,1.316431097,61.13197766,4.842253017,0.212749227,55.37968596,76.41894123,29.29815393,52.74272259,49.96162968,4,8963,0
M4,1449,65.00697768,2.424087106,90.97070379,4.35833318,0.638784647,53.73246994,59.7030376,20.08990251,38.86411886,54.25964535,4,1274,0
M4,1800,69.95225079,1.383738343,88.85633092,6.665351918,0.643317868,58.92522581,65.15982876,21.56633802,36.17416157,54.57433899,2,210,0
M4,969,83.40620027,2.276149969,77.86780195,4.143830159,0.153947454,61.92874984,69.95927163,26.92483208,30.75074184,50.32892345,3,3659,0
M5,1718,80.46733568,2.312815467,85.08030977,5.035566074,0.766777149,63.51329999,69.58740347,28.99283337,42.68775789,46.9958518,3,6792,0
M3,1749,72.61067901,1.651614091,95.44186222,5.652306152,0.999483025,61.20438379,77.49745475,30.60468256,41.871071,53.89848091,5,9318,0
M1,1085,71.33175588,2.291013284,93.0847307,3.36866489,0.509201277,56.67153268,49.85098767,32.84814293,43.88424614,49.6992275,1,3333,0
M4,1431,71.08241851,2.130221132,62.85471032,5.480260501,0.371777148,61.84508219,73.34327055,24.66276721,29.72748112,45.63607523,9,1572,0
M2,1425,65.77589816,1.730579072,92.3023728,3.944892325,1.064866118,60.62142847,67.10018646,30.96805878,23.98818801,45.39923884,8,4972,0
M4,1218,91.15375689,1.495722658,79.02967092,5.822782781,0.2362063,64.68028084,61.61499384,23.28847578,46.25591303,42.61417792,8,4853,1
M2,1344,71.77679531,1.018687154,81.09311147,4.037348988,0.504021293,63.88468351,62.57513222,29.51045656,54.84641862,47.4485442,3,1933,0
M2,1277,87.17158521,2.174825024,81.09795487,5.692769032,0.535924455,60.15238207,67.85462335,26.03744399,29.73646378,55.51346023,2,6028,0
M4,1850,90.21316052,1.217598614,77.74635517,6.105833066,0.769029524,55.51373497,33.98914896,27.22838954,55.89441284,50.889149,1,8745,0
M5,1687,84.98310898,2.0476721,97.87561246,5.861436526,0.571947795,56.73524922,62.98710429,27.11753937,42.83911059,47.35116147,6,6916,0
M2,1754,70.68379687,1.868275892,78.7442306,5.251316648,0.400273221,57.2510532,61.24185175,16.97647495,39.92937095,54.02427969,10,840,0
M2,1644,79.0373009,2.339571388,63.20680807,4.768699057,0.309763126,58.42366833,75.32783209,19.37939071,36.02451303,45.83761689,1,7356,0
M4,1274,74.75804394,1.84897725,74.09705216,4.423580424,0.431635636,61.34025214,61.94473317,25.5127072,26.15481981,50.47675137,5,2480,0
M2,1395,65.96298139,1.835276107,82.68042075,6.471034691,0.298614528,63.57587195,67.848862,16.5636046,49.87728516,49.10184814,9,9735,0
M2,1597,78.24359282,2.365935352,98.43822176,4.30050478,0.509565064,59.74440653,85.42276628,29.15605552,32.24393639,53.89565313,9,3780,0
M4,1255,63.20960209,2.167529015,89.04642027,3.962933926,0.387160764,60.08062394,79.9435152,29.35777983,32.20193324,42.11385815,4,2501,0
M4,1642,86.87679388,2.158077979,67.24197082,5.665368935,0.201192441,60.71653153,79.022714,26.63585276,49.9192631,45.74901127,7,7277,0
M1,1451,70.35382703,2.234633795,117.2778488,4.203863197,0.751029158,57.42047343,65.0012757,19.39432994,21.17016553,41.8087717,7,2106,0
M5,1425,77.01159656,1.232213938,83.97162966,4.049936503,0.400465495,55.37303871,75.43032279,31.90069469,24.76402189,48.70201639,4,1509,0
M5,1642,77.83287872,2.37839434,99.13086107,3.556395738,0.246372639,51.22281051,67.661022,35.1860532,39.81865756,56.05713752,5,1862,0
M2,1588,72.41095026,2.306234397,77.7242835,4.517090161,0.466348173,56.52425321,68.03906789,25.73538414,42.93284429,47.47276395,9,1009,0
M5,1427,80.86693801,1.491658436,88.00038867,4.917284976,0.513674313,62.36572727,74.09685344,27.55267689,44.84734648,47.44658031,7,860,0
M2,1731,70.25096343,1.877959763,92.59202757,5.243091728,0.150706655,56.48544281,64.03006412,26.00869327,36.98201507,54.35862212,7,6738,0
M1,1283,83.71297297,1.980346356,98.27292068,5.951306244,0.566329533,58.81096481,84.93003104,27.65184594,65.30369669,55.34274779,10,5712,0
M4,1623,61.5402032,1.932751608,95.86052458,5.526897924,0.290568486,62.33215644,68.3986986,24.40220622,37.72107441,49.55714466,7,3340,0
M4,1618,76.2637958,2.166929983,93.082955,4.80912778,0.842205762,62.60344748,76.18360566,24.8271788,37.69213848,53.42357427,9,630,0
M4,1438,94.38928999,2.715683391,75.27369903,4.801804324,0.604792102,54.60233574,84.55600479,29.528588,32.03013331,44.6152273,5,9651,1
M5,1565,64.99668675,2.540883364,71.42380937,5.510157469,0.420020002,64.98529678,80.31653775,36.72812081,41.23906817,56.88987167,6,2660,0
M1,1249,68.22255029,1.343890403,84.98911265,6.272570163,0.350966446,65.63675045,55.91080897,17.99964383,46.14961232,60.74353147,3,2277,0
M5,1684,80.1390785,2.311034995,93.99692109,5.126314199,0.479006458,54.35075071,74.44895895,24.48093758,52.03578055,52.60607896,1,5203,0
M5,1463,76.79581782,2.66446666,76.65918949,4.530869146,0.622558148,55.88081565,78.50719394,19.09769757,25.10715736,39.57834189,2,7806,0
M1,1395,78.50630099,2.19340426,95.97757949,4.007133999,0.494901174,65.95545342,78.91863022,32.96012449,37.54004662,47.20884869,8,1637,0
M1,1709,79.8918713,2.545490213,101.7892512,3.554794736,0.456568239,59.26573239,58.86705166,22.06131015,44.46703611,53.06412661,1,9565,0
M1,1359,81.34721469,3.006135223,66.25518621,5.666269672,0.511674058,48.90111026,63.42964763,17.78399603,45.87057535,47.89258501,10,2881,0
M1,1218,86.09699842,2.511854773,67.44618944,5.577978524,0.379228214,53.00159248,79.94558236,28.19093499,40.06548658,56.36099277,7,1046,1
M4,1188,79.09818657,2.124654298,77.89437412,5.577363525,0.431358815,58.75315187,62.38239629,33.72155557,45.4242397,52.94078632,5,5357,0
M3,1621,72.58742345,2.522544237,84.61419002,4.871340554,0.082841512,54.18478675,67.00303943,28.31798934,31.91036107,46.4676225,6,9590,0
M3,1243,81.72573701,2.072443917,72.13149479,6.406934746,0.694745246,57.93288115,85.7587581,26.02398939,55.57905432,50.16132405,8,5197,0
M1,1850,93.99881935,2.011951522,100.2830402,4.515881505,0.559759556,60.16198107,69.5220075,27.04570461,49.92628103,45.5308339,4,2611,0
M3,1083,73.67366254,1.824292882,86.36100292,5.955269237,0.345308831,67.31127302,62.73225862,32.07420331,26.55072213,49.08707561,6,2288,0
M3,1839,65.25470695,2.781706679,80.59170572,4.961257105,0.879746996,58.54773042,61.22382643,20.62900365,29.24896952,47.2270338,3,6163,1
M1,1542,86.07080669,1.590785667,58.46135714,4.391649235,0.517403296,65.362709,73.3271933,24.44076448,29.5307825,55.873809,7,981,1
M3,1480,73.79618836,2.766183862,60.26276275,5.592530307,0.292771286,67.14380081,56.66851992,22.73654926,46.77969971,60.58006028,2,1947,0
M5,1391,53.27330454,2.249932062,84.21513875,5.409636119,0.671347484,67.17154835,67.52664036,19.16067346,27.15272234,42.84405833,8,6699,0
M2,1579,83.47421677,1.300346913,48.01106561,5.356972759,0.579609643,61.42377297,73.33230535,23.3581237,36.68975666,40.38391857,7,2075,0
M2,1492,69.64671814,2.183824646,95.18956114,5.081278422,0.578915997,50.18355426,82.99149821,30.53860548,44.54704396,48.77413789,8,6677,0
M1,1720,74.09466718,0.949986746,77.62769233,4.962106918,0.414848879,62.30412433,76.6754808,27.83301074,39.33834065,42.40792151,2,5826,0
M4,1522,78.31980331,2.312754008,128.6463945,7.388371993,0.590099145,65.24199944,62.85934882,28.2215525,42.58887516,50.23105802,3,4668,0
M1,1530,76.9049968,2.442615741,114.6187438,6.184256645,0.447648342,59.59466447,81.78419318,25.73237806,29.34197289,53.74468057,4,7263,0
M4,1427,82.09451817,1.703822022,77.27826396,5.722826895,0.61118829,68.72291935,67.00484962,27.61661891,45.94854373,57.47070949,9,6682,0
M2,1488,70.64513629,2.061773848,78.40494496,5.111799158,0.119011109,64.29916781,57.64296978,20.99704829,33.86788108,51.00697279,5,8789,0
M1,1561,80.13105798,2.977078717,94.93372271,6.007157201,0.413225307,62.84136689,68.27958641,23.45245057,36.75380326,49.03422388,6,2316,0
M5,1157,72.40453322,1.747126648,105.5475891,5.517994776,0.84443102,65.43190356,84.38169201,25.96002118,42.37731728,40.10807542,1,9280,0
M3,1230,82.38810481,1.470546206,55.42956414,5.026204753,0.346586509,61.66684926,71.6524005,26.38757929,41.03078222,50.13092575,4,5801,0
M4,1648,81.15367484,2.740831701,53.20436802,4.696435675,0.379232341,47.5359475,70.12521864,26.60093927,40.23980019,50.3564363,4,8117,1
M3,1534,65.64561298,2.981293595,70.66947792,4.919082662,0.410407732,57.50430524,86.37211645,24.30832359,32.49373178,53.19478407,10,2708,0
M3,1463,85.85982116,2.001847836,88.74106375,1.829574264,0.257038773,65.98584014,55.68645153,23.11288299,37.00450589,46.45755949,8,9662,0
M1,1503,69.64036555,2.505731518,87.45310386,5.210600839,0.058343845,55.9620433,57.14400886,40.78885642,40.02183591,47.824737,8,4909,0
M3,1569,83.08057798,2.670737958,96.04657182,4.51152392,0.45388272,58.88263747,53.84153529,29.53393636,26.24914767,42.60998872,10,6445,0
M5,1392,78.67287313,1.628757884,62.00453707,6.592669998,0.527171885,54.77581843,73.72648186,27.06573738,35.37467034,38.54353597,6,278,0
M3,1344,93.38183677,1.757347082,45.25784206,5.019344071,0.489498986,68.91961298,71.66493127,23.83395751,43.87679879,44.45751455,8,7871,1
M1,1539,72.76534018,2.615437257,92.87021293,3.81103658,0.471024288,68.40746229,85.42736367,22.74390587,27.22563396,42.14837093,9,8071,0
M5,1304,71.50683204,2.842507139,67.57705591,4.950119846,0.508608174,55.58065552,72.43475077,24.34599703,51.56581652,51.68356148,5,2029,0
M2,1581,74.80580394,2.28144043,49.72268203,3.953878915,0.704568294,60.73649,65.95842841,26.46414422,52.69613263,47.40932972,1,2648,0
M3,1159,71.96820217,1.560092823,82.17595619,5.473407416,0.461910763,56.59752976,70.01794873,15.59782228,27.54849424,47.30881435,1,4934,0
M1,1705,82.99941902,2.993530556,91.89763532,5.290947364,0.385183485,63.0747232,71.17707418,17.15305202,53.57619633,45.07793477,2,211,0
M2,1594,58.83689392,1.734514551,78.16914302,5.957839631,0.443774903,62.54841539,53.28238727,21.81558806,38.56418411,33.83717284,2,8048,0
M2,1551,64.46317581,1.832431109,73.13227421,4.209118208,0.615869352,64.05852786,97.10331644,26.03569718,44.18514559,57.54155374,5,814,0
M4,1696,64.32197078,2.171168917,77.60956652,5.034008096,0.782405376,61.65959224,75.19871018,23.80363426,35.03348948,44.99864739,7,9693,0
M5,1833,84.50307592,2.77708021,74.44125856,3.634978205,0.374371252,74.67703103,72.10008308,32.39060613,49.23044827,47.93789965,7,6134,0
M3,1702,92.10613373,2.426987988,59.77929332,5.701494782,0.519786757,54.86038117,76.15163984,17.58801607,44.06094019,42.72553917,4,1481,1
M1,1131,73.95550781,2.20743275,69.27978985,5.51887118,0.567671488,51.44698323,77.09410981,21.24327265,31.85846743,54.85965172,4,3227,0
M4,1244,73.31178277,2.231644265,87.81919858,5.495805021,0.301484399,58.034549,68.59446514,32.6004587,28.34798,50.71714469,10,7583,0
M5,1375,75.70052163,2.021757334,84.82517812,5.001619031,0.504083433,52.16005867,63.68758864,25.65559662,25.39697565,45.86817357,3,1308,0
M4,1505,86.61878303,2.279069757,82.52089709,5.414772891,0.206865229,52.53768865,75.99450686,29.42421291,41.87941776,48.03885194,2,136,0
M5,1603,65.72646866,0.735219961,65.07277277,6.604339108,0.146189939,54.99342673,73.85710841,35.25623472,45.72471412,58.39089961,3,1928,0
M5,1354,77.38368983,1.85169627,77.27745257,4.714905743,0.573349282,55.38905547,61.90109901,21.53097791,46.50965679,49.63515284,8,3441,0
M3,1537,84.7519763,2.120660967,47.3440243,5.138645184,0.423225052,55.22690949,84.19035611,24.50342831,38.82018905,49.09133231,1,7106,0
M5,1348,80.0109417,1.424492958,82.67714996,3.913873701,0.540456082,62.59109475,72.93352036,23.6378655,28.43003544,45.29309257,4,7775,0
M4,1377,76.89581617,2.193161659,101.4328656,4.131739038,0.496421005,57.46905469,77.29819362,15.22703498,33.17925202,40.52709425,7,5447,0
M5,1218,85.01046093,1.89776439,57.88801802,5.097813293,0.30471999,59.10242713,83.91920888,23.44801598,51.52348639,49.19980663,5,7990,1
M3,1315,47.96767707,2.877737849,71.2110849,6.103933547,0.49094914,64.47116387,70.21888821,29.40531094,35.15371435,51.62742556,2,909,0
M3,1229,81.7787532,2.786509863,84.93660168,4.743719176,0.253379739,56.16838738,73.16952007,27.70294771,41.43417631,55.49792232,1,4218,0
M4,1304,68.45924317,1.767097215,98.79263952,4.764083471,0.778194472,58.67727051,78.10027239,28.09541585,29.24349516,38.75751733,6,1626,0
M2,1710,56.69367103,1.924581144,73.27663076,4.593114755,0.228805931,61.82879993,62.75138916,23.1224551,43.36583045,44.37451836,5,595,0
M2,1310,80.112026,1.963026217,69.61624506,4.465243329,0.460842946,50.292161,70.54051663,21.71951382,35.42315438,47.09629455,3,524,0
M5,2026,88.73658545,1.774170262,50.46615286,5.294971456,0.291545682,48.07547246,71.25548587,31.34627836,50.46712714,49.98259576,9,2847,1
M1,1598,73.62551485,2.097512492,81.55157194,3.502742355,0.614084235,61.73058664,60.43941448,22.51341427,47.73557706,49.27483154,3,2082,0
M5,1536,84.52874547,1.620858966,110.6311406,6.280939577,0.433713726,62.4600714,93.17636789,26.47041019,35.04294053,49.39155657,2,1568,0
M4,1328,91.12278258,1.434692333,84.16037693,4.334577702,0.396266656,70.32110067,55.92706557,25.8166734,38.73335973,52.04048029,5,7828,1
M4,1640,88.14914454,2.311355612,79.66581531,5.721903485,0.670640309,60.79047438,57.01896096,32.30858508,34.4888376,45.48353445,9,6870,0
M4,1384,91.39964529,2.314764792,84.83123466,3.730001403,0.505886118,64.09869859,83.14226576,29.85706179,25.80566803,54.67070721,8,1333,1
M4,1524,82.42127491,1.59784212,79.83361994,5.668840131,0.603328889,59.02263678,77.13266251,18.5237069,31.4255757,52.16726221,6,8856,0
M4,2012,75.75433639,2.447677715,67.80478442,5.671944608,0.303734813,61.48613611,59.74035183,19.06223417,41.98217328,48.40083868,3,3119,0
M3,1480,58.98034188,1.684211135,92.34919874,5.384202072,0.219036611,68.33628421,76.07289015,27.89454909,43.25259498,58.00453996,6,1404,0
M2,1729,72.53937512,2.126582619,83.38642285,4.005571478,0.521441592,49.38003591,84.67850445,24.67831176,41.48547904,57.78208018,5,8134,0
M4,1359,66.56753405,2.410172006,80.26419878,5.24954819,0.436230729,62.06808129,69.69736942,22.72414108,36.98266946,54.66447678,1,232,0
M1,1493,96.70942717,1.983193718,65.36950959,3.816943815,0.625286934,70.67793365,95.988229,30.07813942,49.33066606,34.90721615,5,548,0
M1,1854,73.24114188,2.227370456,99.55261898,4.747236745,0.484018309,61.4101711,52.75938189,25.93729691,40.63541905,57.89472546,7,6507,0
M1,1374,76.23204807,1.741785178,89.97054118,6.029413101,0.541015068,68.25286482,76.93823454,25.26228693,47.03253828,53.97379261,9,949,0
M1,1862,80.51485376,1.901766708,71.70618744,5.796701927,0.175323494,56.85393925,81.66528336,28.8991432,22.26224868,60.03204319,1,5457,0
M3,1641,75.43602446,1.897070285,95.02737281,5.015182943,0.877687388,59.83976253,78.91343902,23.12445503,0.775997484,56.18732296,3,4062,0
M1,1387,91.9505104,1.626710827,72.53643742,4.025193424,0.467151603,60.16762351,67.95644273,32.84259493,42.83788028,57.89171339,8,9772,0
M4,1626,68.77350638,1.911612918,68.26994761,5.645587712,0.639517394,48.9120446,67.09558518,21.05976188,25.75234346,54.39327425,6,9192,0
M5,1694,76.94607455,1.225690851,68.60445324,5.019381238,0.332781666,54.15911086,74.44145171,28.28464533,37.87548297,56.74346599,5,4954,0
M1,1624,67.57529414,1.754423126,53.4339717,2.679684402,0.56160198,54.5156246,78.15754487,32.16916419,36.97902959,59.9706187,10,1639,0
M3,1185,61.79977489,1.857562253,87.07313571,5.782629826,0.239431047,64.11033039,76.02473436,18.11352255,55.87400602,51.08277369,2,1999,0
M3,1354,68.88230909,1.871910124,52.53282682,4.975767166,0.590413568,64.36076553,80.40057891,23.28332412,43.99996553,42.13884728,3,3044,0
M1,1450,74.62963203,1.879251277,61.57334253,6.202451248,0.428805183,61.62018221,59.81130043,30.71103696,41.65859027,48.4626955,2,5057,0
M5,1485,70.70697775,1.9691179,48.86617986,3.904729481,0.505838101,64.12051448,67.72229021,30.78622274,48.36991155,51.949728,1,6043,1
M1,1624,68.0757902,2.239720759,78.70895461,1.823296187,0.639594806,59.17925294,60.59984068,24.142522,43.68497587,50.37443792,7,3344,0
M3,1535,60.93682536,2.437258537,77.7451931,5.279083858,0.253491938,66.00965835,66.13887224,21.32664453,35.42323007,43.76719017,3,6436,0
M2,1232,74.16894427,1.675117387,75.0995568,5.291563677,0.363101654,60.04394221,80.15220892,29.77967911,50.7147593,41.84466187,7,8806,0
M4,1576,59.95279626,1.398399572,64.36133458,3.309328372,0.591464856,60.28932024,71.07983921,30.91774551,28.90249872,46.29418666,7,1691,0
M3,1622,82.60055964,1.478977794,62.4164937,4.021500454,0.919644295,58.67203683,96.06859163,19.17668326,43.23247188,54.03869778,8,8053,0
M1,1611,75.82439753,1.756398539,86.96554795,7.755217744,0.472383533,63.42225239,71.93406367,18.98043176,24.52430206,57.90169885,1,7955,0
M4,1716,60.42448501,1.824039341,71.74172102,4.694389386,0.618227224,57.89400592,70.59691881,26.12628341,42.03943858,54.58283807,5,7895,0
M1,1666,71.90790923,1.615001967,84.74537482,5.730958976,0.478605706,64.88215689,71.06182919,28.14680317,41.92989642,55.28713644,10,8375,0
M1,1591,67.47843594,1.351941668,66.72126971,4.349340173,0.888449119,54.3392543,63.62191307,23.50465457,56.76454962,49.59592213,9,3842,0
M2,1485,78.1917451,1.771939586,82.71594114,2.909697101,0.150555667,54.50541873,69.42163388,28.3964691,24.35026107,41.28958771,7,2227,0
M4,1167,88.40450446,2.09071331,99.54917056,4.829741753,0.518924209,63.43713378,81.27788027,21.44931697,33.99112824,47.7238971,1,1701,0
M4,1585,56.2482753,2.297514733,88.79248701,4.73439544,0.174891193,59.55727893,71.13970668,14.426532,48.22682427,48.70617794,8,1322,0
M2,1541,76.15026079,1.721288473,73.81379273,4.600121761,-0.001314314,57.73054292,62.0654027,22.88049464,43.35317256,47.51473757,3,5790,0
M3,1554,73.39867204,1.793501089,83.85798456,4.885359164,0.559492411,64.45028866,60.7491538,25.31616073,41.80305051,50.27347433,4,1942,0
M1,1244,81.71340076,1.536650846,76.39002238,5.264268272,0.527899559,56.96369293,65.49798108,23.6208002,30.43864297,52.2070988,4,8158,0
M5,1283,77.13196628,1.984280415,80.11820277,4.849883049,0.443032612,58.99899373,70.73863434,19.20698368,34.09181652,54.26507594,10,9881,0
M1,1710,67.48030668,1.575785683,75.11583422,3.735993832,0.478761182,66.99613975,81.93586535,15.92175512,52.45041008,48.60940068,8,5665,0
M1,1492,71.80946064,2.286563907,77.53497191,5.486184792,1.119659887,67.69571173,56.59511359,22.42955598,39.48490806,40.48120297,1,4588,0
M3,1636,67.03974143,1.107066754,83.1814003,3.050628245,0.448364972,67.86199105,66.80173722,29.48827886,43.75359696,47.5856114,8,8300,0
M1,1505,85.76007139,1.820185164,65.09961951,2.949642543,0.602024872,58.58937112,71.44310019,31.2809872,38.84811671,50.21855198,9,7050,0
M2,1505,75.21311649,2.15055367,64.7618176,5.739180495,0.370127036,66.15351452,51.66294232,30.93856692,28.16914485,56.11403961,9,9006,0
M2,1687,94.01190686,2.091917258,59.17186169,5.507020272,0.559046515,55.25523586,61.66401717,20.92045232,49.33810426,47.16096079,5,2027,1
M4,1396,74.39339186,3.346516832,55.99593343,4.942604635,0.452353265,55.46548563,63.2011146,19.23146838,45.03232385,52.56271814,4,8401,1
M5,1519,67.91593233,2.174900012,61.74075962,3.604551495,0.417896303,48.24772074,62.04029626,27.48317307,63.05636837,51.4504395,4,5029,0
M1,1407,59.86285607,1.497972702,82.3919376,4.292089059,0.863779706,68.36434101,71.91889545,28.17550006,29.8441862,50.21950267,9,8557,0
M1,1413,56.96860324,1.952267876,66.60818727,4.737253252,0.735436993,55.68010075,68.3944039,27.00084803,48.22572921,54.6526666,8,5592,0
